REGIAO:;S;;;;;;;;;;;;;;;;
UF:;PR;;;;;;;;;;;;;;;;
ESTACAO:;CURITIBA;;;;;;;;;;;;;;;;
CODIGO (WMO):;A807;;;;;;;;;;;;;;;;
LATITUDE:;-25,4486111;;;;;;;;;;;;;;;;
LONGITUDE:;-49,23055554;;;;;;;;;;;;;;;;
ALTITUDE:;922,91;;;;;;;;;;;;;;;;
DATA DE FUNDACAO:;28/01/2003;;;;;;;;;;;;;;;;
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s);;;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s)
03/05/2023;2000 UTC;0;313,9;22;23,7;22;75;4,9;;;;;;;;;
03/05/2023;2100 UTC;0;110,5;20,8;22,1;20,8;81;4,9;;;;;;;;;
03/05/2023;2200 UTC;0;;19,9;20,9;19,9;84;5,7;;;;;;;;;
03/05/2023;2300 UTC;0;;19,3;19,9;19,3;87;4,4;;;;;;;;;
04/05/2023;0000 UTC;0;;18,7;19,3;18,6;92;4,9;;;;;;;;;
04/05/2023;0100 UTC;0;;18,8;18,9;18,7;91;6,8;;;;;;;;;
04/05/2023;0200 UTC;0;;18,4;18,8;18,4;91;6;;;;;;;;;
04/05/2023;0300 UTC;0;;18,1;18,4;18;94;3,7;;;;;;;;;
04/05/2023;0400 UTC;0;;18,2;18,3;18,1;93;1,7;;;;;;;;;
04/05/2023;0500 UTC;0;;18,1;18,3;18,1;93;2,4;;;;;;;;;
04/05/2023;0600 UTC;0;;17,5;18,1;17,5;96;2;;;;;;;;;
04/05/2023;0700 UTC;0;;17,5;17,6;17,4;95;1,2;;;;;;;;;
04/05/2023;0800 UTC;0;;16,8;17,5;16,7;97;0,4;;;;;;;;;
04/05/2023;0900 UTC;0;;16,7;17,1;16,7;97;2;;;;;;;;;
04/05/2023;1000 UTC;0;11,4;17;17;16,4;97;1,2;;;;;;;;;
04/05/2023;1100 UTC;0;257,5;18;18;17;92;2,6;;;;;;;;;
04/05/2023;1200 UTC;0;777,8;20,1;20,1;18;83;2,7;;;;;;;;;
04/05/2023;1300 UTC;0;2116,8;22,9;22,9;20,1;72;2,8;;;;;;;;;
04/05/2023;1400 UTC;0;2746,9;24,1;24,4;22,9;66;5,7;;;;;;;;;
04/05/2023;1500 UTC;0;2916,1;24,7;25,9;24,1;65;6,2;;;;;;;;;
04/05/2023;1600 UTC;0;2043,7;25,5;26,3;24,5;60;6,9;;;;;;;;;
04/05/2023;1700 UTC;0;3136,7;27;27,9;25,5;56;6,6;;;;;;;;;
04/05/2023;1800 UTC;0;2372,6;26,6;27,5;26,3;55;6,5;;;;;;;;;
04/05/2023;1900 UTC;0;1875;26,6;27,7;26,5;53;5,8;;;;;;;;;
04/05/2023;2000 UTC;0;489,8;25,6;26,6;25,6;57;4,2;;;;;;;;;
04/05/2023;2100 UTC;0;79,5;24,8;25,7;24,8;61;3,4;;;;;;;;;
04/05/2023;2200 UTC;0,2;0,2;21,9;25;21,9;89;5,4;;;;;;;;;
04/05/2023;2300 UTC;14,4;3,7;19,9;21,9;18,2;98;6,4;;;;;;;;;
05/05/2023;0000 UTC;12,4;;19,3;20,3;18,9;98;7;;;;;;;;;
05/05/2023;0100 UTC;21,4;3,7;16,8;19,2;16,1;98;7,6;;;;;;;;;
05/05/2023;0200 UTC;0;;17,8;17,8;16,8;98;3,5;;;;;;;;;
05/05/2023;0300 UTC;0;;18;18,2;17,8;98;2,1;;;;;;;;;
05/05/2023;0400 UTC;0;;18,4;18,4;18;98;2,8;;;;;;;;;
05/05/2023;0500 UTC;0;;18,6;18,6;18,4;98;1,9;;;;;;;;;
05/05/2023;0600 UTC;0;0,1;18,6;18,7;18,5;95;5;;;;;;;;;
05/05/2023;0700 UTC;0;0,3;18,4;18,6;18,3;95;5,3;;;;;;;;;
05/05/2023;0800 UTC;0;;18,4;18,4;18,2;94;3,7;;;;;;;;;
05/05/2023;0900 UTC;0;;17,8;18,4;17,8;96;2,4;;;;;;;;;
05/05/2023;1000 UTC;0;8,3;17,5;17,8;17,4;97;1,7;;;;;;;;;
05/05/2023;1100 UTC;0;282,1;19,2;19,4;17,5;90;3,4;;;;;;;;;
05/05/2023;1200 UTC;0;1201,1;21;21,2;19;82;4,1;;;;;;;;;
05/05/2023;1300 UTC;0;2164;22,7;22,8;21;75;4,1;;;;;;;;;
05/05/2023;1400 UTC;0,2;2730,9;23,3;24,3;22,6;72;5,1;;;;;;;;;
05/05/2023;1500 UTC;0;3135,5;24;24,7;23;68;6,1;;;;;;;;;
05/05/2023;1600 UTC;0;2844;24,7;25,1;23,7;69;6,3;;;;;;;;;
05/05/2023;1700 UTC;0;2172,5;25,1;25,5;24,4;69;6;;;;;;;;;
05/05/2023;1800 UTC;0;1564,2;25,2;25,6;24,4;68;5;;;;;;;;;
05/05/2023;1900 UTC;0;1099,1;25;25,7;24,8;69;3,8;;;;;;;;;
05/05/2023;2000 UTC;0;845,1;25,1;25,9;25;65;4,1;;;;;;;;;
05/05/2023;2100 UTC;0;160,9;23,4;25,1;23,4;78;3,6;;;;;;;;;
05/05/2023;2200 UTC;0;;21,6;23,4;21,6;85;4,6;;;;;;;;;
05/05/2023;2300 UTC;0;;19,9;21,6;19,9;94;4,4;;;;;;;;;
06/05/2023;0000 UTC;0;;19,7;20,1;19,6;94;3,8;;;;;;;;;
06/05/2023;0100 UTC;0;0,1;19,9;19,9;19,7;91;4,8;;;;;;;;;
06/05/2023;0200 UTC;0;;19,7;20,1;19,7;90;5,3;;;;;;;;;
06/05/2023;0300 UTC;0;;19,7;19,7;19,6;91;4,1;;;;;;;;;
