REGIAO:;S;;;;;;;;;;;;;;;;
UF:;PR;;;;;;;;;;;;;;;;
ESTACAO:;CURITIBA;;;;;;;;;;;;;;;;
CODIGO (WMO):;A807;;;;;;;;;;;;;;;;
LATITUDE:;-25,4486111;;;;;;;;;;;;;;;;
LONGITUDE:;-49,23055554;;;;;;;;;;;;;;;;
ALTITUDE:;922,91;;;;;;;;;;;;;;;;
DATA DE FUNDACAO:;28/01/2003;;;;;;;;;;;;;;;;
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s);;;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s)
11/06/2023;1100 UTC;0;85,6;19,2;19,2;17,4;54;7;;;;;;;;;
11/06/2023;1200 UTC;0;934,7;21,1;21,1;19,2;50;7;;;;;;;;;
11/06/2023;1300 UTC;0;1714;22,9;23,1;21,2;45;10,6;;;;;;;;;
11/06/2023;1400 UTC;0;2291,6;24,3;24,3;22,8;42;12,7;;;;;;;;;
11/06/2023;1500 UTC;0;2632,1;25,1;25,3;23,9;43;13,4;;;;;;;;;
11/06/2023;1600 UTC;0;2432,1;25,6;25,9;24,6;41;16,1;;;;;;;;;
11/06/2023;1700 UTC;0;2557,3;25,8;26,6;25,4;38;12,7;;;;;;;;;
11/06/2023;1800 UTC;0;2012,4;25,2;26,5;25,2;41;10;;;;;;;;;
11/06/2023;1900 UTC;0;716;24,6;26,4;24,6;45;9;;;;;;;;;
11/06/2023;2000 UTC;0;148,5;23,7;24,6;23,7;49;5,3;;;;;;;;;
11/06/2023;2100 UTC;0;14,4;23,2;23,7;23;48;6;;;;;;;;;
11/06/2023;2200 UTC;0;;18,1;23,2;18,1;87;7,1;;;;;;;;;
11/06/2023;2300 UTC;0;;16,9;18,1;16,9;92;4,9;;;;;;;;;
12/06/2023;0000 UTC;0,4;;16,5;17;16,5;94;3,3;;;;;;;;;
12/06/2023;0100 UTC;0,6;;16,1;16,5;16;96;4,1;;;;;;;;;
12/06/2023;0200 UTC;0;;15,7;16,1;15,7;96;4,6;;;;;;;;;
12/06/2023;0300 UTC;0,2;;15,5;15,7;15,5;95;3,8;;;;;;;;;
12/06/2023;0400 UTC;0,2;;15;15,5;14,9;97;4,7;;;;;;;;;
12/06/2023;0500 UTC;0;;15;15;14,9;95;5,7;;;;;;;;;
12/06/2023;0600 UTC;0;1,3;15;15;15;94;5,7;;;;;;;;;
12/06/2023;0700 UTC;0;1,8;14,8;15;14,8;94;6,2;;;;;;;;;
12/06/2023;0800 UTC;0;0,2;14,9;14,9;14,8;93;4,9;;;;;;;;;
12/06/2023;0900 UTC;0,6;0,1;14,2;14,9;14,2;96;4;;;;;;;;;
12/06/2023;1000 UTC;2,2;1,2;13,9;14,2;13,9;97;5,2;;;;;;;;;
12/06/2023;1100 UTC;0,6;36,7;14;14;13,9;97;4,8;;;;;;;;;
12/06/2023;1200 UTC;1;108,4;13,9;14,1;13,8;97;4,7;;;;;;;;;
12/06/2023;1300 UTC;1;181,9;13,6;14,1;13,6;97;5;;;;;;;;;
12/06/2023;1400 UTC;1,6;262,6;13,7;13,8;13,5;98;5,4;;;;;;;;;
12/06/2023;1500 UTC;0,2;363,7;14;14,1;13,6;96;5,1;;;;;;;;;
12/06/2023;1600 UTC;0,8;480,2;13,9;14,2;13,9;96;6;;;;;;;;;
12/06/2023;1700 UTC;2,6;168,3;13,4;13,9;13,4;97;5,8;;;;;;;;;
12/06/2023;1800 UTC;1,2;195,6;13,1;13,4;13,1;98;5;;;;;;;;;
12/06/2023;1900 UTC;;;;;;;;;;;;;;;;
12/06/2023;2000 UTC;;;;;;;;;;;;;;;;
12/06/2023;2100 UTC;;;;;;;;;;;;;;;;
12/06/2023;2200 UTC;;;;;;;;;;;;;;;;
12/06/2023;2300 UTC;;;;;;;;;;;;;;;;
13/06/2023;0000 UTC;;;;;;;;;;;;;;;;
13/06/2023;0100 UTC;;;;;;;;;;;;;;;;
13/06/2023;0200 UTC;;;;;;;;;;;;;;;;
13/06/2023;0300 UTC;;;;;;;;;;;;;;;;
13/06/2023;0400 UTC;;;;;;;;;;;;;;;;
13/06/2023;0500 UTC;;;;;;;;;;;;;;;;
13/06/2023;0600 UTC;;;;;;;;;;;;;;;;
13/06/2023;0700 UTC;;;;;;;;;;;;;;;;
13/06/2023;0800 UTC;;;;;;;;;;;;;;;;
13/06/2023;0900 UTC;;;;;;;;;;;;;;;;
13/06/2023;1000 UTC;;;;;;;;;;;;;;;;
13/06/2023;1100 UTC;;;;;;;;;;;;;;;;
13/06/2023;1200 UTC;;;;;;;;;;;;;;;;
13/06/2023;1300 UTC;;;;;;;;;;;;;;;;
13/06/2023;1400 UTC;;;;;;;;;;;;;;;;
13/06/2023;1500 UTC;;;;;;;;;;;;;;;;
13/06/2023;1600 UTC;;;;;;;;;;;;;;;;
13/06/2023;1700 UTC;;;;;;;;;;;;;;;;
13/06/2023;1800 UTC;;;;;;;;;;;;;;;;
13/06/2023;1900 UTC;;;;;;;;;;;;;;;;
13/06/2023;2000 UTC;;;;;;;;;;;;;;;;
13/06/2023;2100 UTC;;;;;;;;;;;;;;;;
13/06/2023;2200 UTC;;;;;;;;;;;;;;;;
13/06/2023;2300 UTC;;;;;;;;;;;;;;;;
14/06/2023;0000 UTC;;;;;;;;;;;;;;;;
14/06/2023;0100 UTC;;;;;;;;;;;;;;;;
14/06/2023;0200 UTC;;;;;;;;;;;;;;;;
14/06/2023;0300 UTC;;;;;;;;;;;;;;;;
14/06/2023;0400 UTC;;;;;;;;;;;;;;;;
14/06/2023;0500 UTC;;;;;;;;;;;;;;;;
14/06/2023;0600 UTC;;;;;;;;;;;;;;;;
14/06/2023;0700 UTC;;;;;;;;;;;;;;;;
14/06/2023;0800 UTC;;;;;;;;;;;;;;;;
14/06/2023;0900 UTC;;;;;;;;;;;;;;;;
14/06/2023;1000 UTC;;;;;;;;;;;;;;;;
14/06/2023;1100 UTC;;;;;;;;;;;;;;;;
14/06/2023;1200 UTC;;;;;;;;;;;;;;;;
14/06/2023;1300 UTC;;;;;;;;;;;;;;;;
14/06/2023;1400 UTC;;;;;;;;;;;;;;;;
14/06/2023;1500 UTC;;;;;;;;;;;;;;;;
14/06/2023;1600 UTC;;;;;;;;;;;;;;;;
14/06/2023;1700 UTC;;;;;;;;;;;;;;;;
14/06/2023;1800 UTC;;;;;;;;;;;;;;;;
14/06/2023;1900 UTC;;;;;;;;;;;;;;;;
14/06/2023;2000 UTC;;;;;;;;;;;;;;;;
14/06/2023;2100 UTC;;;;;;;;;;;;;;;;
14/06/2023;2200 UTC;;;;;;;;;;;;;;;;
14/06/2023;2300 UTC;;;;;;;;;;;;;;;;
15/06/2023;0000 UTC;;;;;;;;;;;;;;;;
15/06/2023;0100 UTC;;;;;;;;;;;;;;;;
15/06/2023;0200 UTC;;;;;;;;;;;;;;;;
15/06/2023;0300 UTC;;;;;;;;;;;;;;;;
15/06/2023;0400 UTC;;;;;;;;;;;;;;;;
15/06/2023;0500 UTC;;;;;;;;;;;;;;;;
15/06/2023;0600 UTC;;;;;;;;;;;;;;;;
15/06/2023;0700 UTC;;;;;;;;;;;;;;;;
15/06/2023;0800 UTC;;;;;;;;;;;;;;;;
15/06/2023;0900 UTC;;;;;;;;;;;;;;;;
15/06/2023;1000 UTC;;;;;;;;;;;;;;;;
15/06/2023;1100 UTC;;;;;;;;;;;;;;;;
15/06/2023;1200 UTC;;;;;;;;;;;;;;;;
15/06/2023;1300 UTC;;;;;;;;;;;;;;;;
15/06/2023;1400 UTC;;;;;;;;;;;;;;;;
15/06/2023;1500 UTC;;;;;;;;;;;;;;;;
15/06/2023;1600 UTC;;;;;;;;;;;;;;;;
15/06/2023;1700 UTC;;;;;;;;;;;;;;;;
15/06/2023;1800 UTC;0;694,6;17,2;17,6;17,2;82;;;;;;;;;;
15/06/2023;1900 UTC;0;425;15,6;17,3;15,6;90;9,3;;;;;;;;;
15/06/2023;2000 UTC;0;341,6;14,7;15,7;14,7;86;10,1;;;;;;;;;
15/06/2023;2100 UTC;0;55,3;13,2;14,7;13,2;82;9;;;;;;;;;
15/06/2023;2200 UTC;0;;12,6;13,2;12,5;85;8,9;;;;;;;;;
15/06/2023;2300 UTC;0;;11,8;12,6;11,8;87;7,9;;;;;;;;;
16/06/2023;0000 UTC;0;;11,3;11,8;11,3;87;7,4;;;;;;;;;
16/06/2023;0100 UTC;0;;11;11,3;11;83;8,8;;;;;;;;;
16/06/2023;0200 UTC;0;;10,7;11;10,7;85;8,3;;;;;;;;;
16/06/2023;0300 UTC;0;;10,6;10,8;10,5;81;9,9;;;;;;;;;
16/06/2023;0400 UTC;0;;10,1;10,6;10,1;83;9,9;;;;;;;;;
16/06/2023;0500 UTC;0;;9,2;10,1;9,2;86;10,2;;;;;;;;;
16/06/2023;0600 UTC;0;;9;9,2;8,8;88;11;;;;;;;;;
16/06/2023;0700 UTC;0;;8,9;9,1;8,9;88;12,3;;;;;;;;;
16/06/2023;0800 UTC;0;;9;9;8,9;88;11,9;;;;;;;;;
16/06/2023;0900 UTC;0;;8,6;9;8,5;89;11;;;;;;;;;
16/06/2023;1000 UTC;;;;;;;;;;;;;;;;
16/06/2023;1100 UTC;0;19,4;9;;;87;;;;;;;;;;
16/06/2023;1200 UTC;0;789,8;10,2;10,2;9;82;12;;;;;;;;;
16/06/2023;1300 UTC;0;1554,1;12;12;10,2;75;11;;;;;;;;;
16/06/2023;1400 UTC;0;1947,5;13,7;13,9;12;72;11;;;;;;;;;
16/06/2023;1500 UTC;0;1289,5;14,4;14,4;13,1;71;10,3;;;;;;;;;
16/06/2023;1600 UTC;0;1885,7;14,8;15,9;13,8;70;10,8;;;;;;;;;
16/06/2023;1700 UTC;0;1623,4;14,5;15,9;14,5;69;11,5;;;;;;;;;
16/06/2023;1800 UTC;0;733,1;14,7;15;14,5;68;11,5;;;;;;;;;
16/06/2023;1900 UTC;0;256,8;14,3;14,8;14,3;72;10,9;;;;;;;;;
16/06/2023;2000 UTC;0;226,6;13,9;14,3;13,9;71;10,9;;;;;;;;;
16/06/2023;2100 UTC;0;51,6;13,1;13,9;13,1;80;7,9;;;;;;;;;
16/06/2023;2200 UTC;0;0;12,7;13,1;12,6;83;7,1;;;;;;;;;
16/06/2023;2300 UTC;0;;12,1;12,7;12,1;86;4,8;;;;;;;;;
17/06/2023;0000 UTC;0;;11,6;12,2;11,5;89;4,1;;;;;;;;;
17/06/2023;0100 UTC;0;;11,2;11,6;11,2;91;5;;;;;;;;;
17/06/2023;0200 UTC;0;;11;11,3;11;91;3,8;;;;;;;;;
17/06/2023;0300 UTC;0;;10,7;11;10,7;92;5,7;;;;;;;;;
17/06/2023;0400 UTC;0;;10,3;10,7;10,3;93;4,5;;;;;;;;;
17/06/2023;0500 UTC;0;;10,1;10,4;10;94;3,9;;;;;;;;;
17/06/2023;0600 UTC;0;;9,9;10,1;9,8;94;3,9;;;;;;;;;
17/06/2023;0700 UTC;0;;8,9;10;8,9;96;4;;;;;;;;;
17/06/2023;0800 UTC;0;;9,2;9,2;8,4;97;4,2;;;;;;;;;
17/06/2023;0900 UTC;0;;9;9,3;8,9;95;5,4;;;;;;;;;
17/06/2023;1000 UTC;0;;8,8;9;8,8;95;4,7;;;;;;;;;
17/06/2023;1100 UTC;0;70,8;9,3;9,3;8,8;93;5,1;;;;;;;;;
17/06/2023;1200 UTC;0;428,2;9,9;9,9;9,3;90;5,8;;;;;;;;;
17/06/2023;1300 UTC;0;556,1;10,4;10,4;9,7;86;6,4;;;;;;;;;
17/06/2023;1400 UTC;0;796,3;11,3;11,4;10,2;79;5,1;;;;;;;;;
17/06/2023;1500 UTC;0;1329,4;12,2;12,4;11,1;74;5;;;;;;;;;
17/06/2023;1600 UTC;0;1179,3;13,3;13,8;12;67;6,1;;;;;;;;;
17/06/2023;1700 UTC;0;1592,1;13,7;14,5;12,9;68;6,3;;;;;;;;;
17/06/2023;1800 UTC;0;867;13,9;14,1;13,2;65;6,4;;;;;;;;;
17/06/2023;1900 UTC;0;1186,2;13,1;14,8;13,1;69;5;;;;;;;;;
17/06/2023;2000 UTC;0;184,9;12,1;13,1;12,1;74;3,4;;;;;;;;;
17/06/2023;2100 UTC;0;25,1;11;12,1;11;79;4,2;;;;;;;;;
17/06/2023;2200 UTC;0;;11,3;11,3;10,8;79;2,8;;;;;;;;;
17/06/2023;2300 UTC;0;;11;11,3;11;81;2,4;;;;;;;;;
18/06/2023;0000 UTC;0;;9,7;11,1;9,5;87;1,6;;;;;;;;;
18/06/2023;0100 UTC;0;;10,8;10,8;9,7;82;1,5;;;;;;;;;
18/06/2023;0200 UTC;0;;11;11;10,7;82;1,3;;;;;;;;;
18/06/2023;0300 UTC;0;;10,7;11,2;10,7;82;1,4;;;;;;;;;
18/06/2023;0400 UTC;0;;10,6;10,8;10,5;83;1,6;;;;;;;;;
18/06/2023;0500 UTC;0;;10,6;10,6;10,4;84;2;;;;;;;;;
18/06/2023;0600 UTC;0;;9,5;10,6;9,5;88;2;;;;;;;;;
18/06/2023;0700 UTC;0;;8,3;9,5;8,1;95;1,8;;;;;;;;;
18/06/2023;0800 UTC;0;;7;8,3;7;96;0,9;;;;;;;;;
18/06/2023;0900 UTC;0;;6,5;7;6,2;98;1,7;;;;;;;;;
18/06/2023;1000 UTC;0;;7,1;7,1;6,4;99;2,6;;;;;;;;;
18/06/2023;1100 UTC;0;58,5;7,4;7,4;7,1;100;2,3;;;;;;;;;
18/06/2023;1200 UTC;0;216,5;7,8;7,9;7,4;100;1,8;;;;;;;;;
18/06/2023;1300 UTC;0;322,5;8,3;8,3;7,8;100;2,3;;;;;;;;;
18/06/2023;1400 UTC;0;770,4;10,1;10,1;8,3;99;2,4;;;;;;;;;
18/06/2023;1500 UTC;0;2347,4;13,2;13,2;10;79;3;;;;;;;;;
18/06/2023;1600 UTC;0;2134,5;15;15;12,7;72;2,9;;;;;;;;;
18/06/2023;1700 UTC;0;2252,8;15,6;16,1;14,5;66;3,5;;;;;;;;;
18/06/2023;1800 UTC;0;1918,3;17;17,6;15,6;62;3,9;;;;;;;;;
18/06/2023;1900 UTC;0;1206,9;17,1;17,8;15,9;61;4,5;;;;;;;;;
18/06/2023;2000 UTC;0;646,2;15,7;17,5;15,7;63;4,7;;;;;;;;;
18/06/2023;2100 UTC;0;74,8;13,2;15,7;13,2;71;3,7;;;;;;;;;
18/06/2023;2200 UTC;0;;11,6;13,2;11,6;91;3,2;;;;;;;;;
18/06/2023;2300 UTC;0;;10,2;11,6;10,2;97;3,7;;;;;;;;;
19/06/2023;0000 UTC;0;;10,1;10,4;10;98;3,8;;;;;;;;;
19/06/2023;0100 UTC;0;;10,1;10,1;9,9;99;2,9;;;;;;;;;
19/06/2023;0200 UTC;0;;10,3;10,4;10;98;3;;;;;;;;;
19/06/2023;0300 UTC;0;;10,2;10,4;10,2;93;4;;;;;;;;;
19/06/2023;0400 UTC;0;;9,8;10,2;9,8;92;4,6;;;;;;;;;
19/06/2023;0500 UTC;0;;9,2;9,8;9,2;94;3,2;;;;;;;;;
19/06/2023;0600 UTC;0;;8,8;9,2;8,7;96;2,5;;;;;;;;;
19/06/2023;0700 UTC;0;;8;8,8;8;96;2,3;;;;;;;;;
19/06/2023;0800 UTC;0;;7,1;8;7;98;1,3;;;;;;;;;
19/06/2023;0900 UTC;0;;6,8;7,2;6,6;98;0,8;;;;;;;;;
19/06/2023;1000 UTC;0;;7,2;7,3;6,7;99;0,8;;;;;;;;;
19/06/2023;1100 UTC;0;106,2;8,4;8,4;7,1;98;2,2;;;;;;;;;
19/06/2023;1200 UTC;0;410,5;10;10;8,4;84;4,3;;;;;;;;;
19/06/2023;1300 UTC;0;964,1;11,3;11,5;9,9;78;6,2;;;;;;;;;
19/06/2023;1400 UTC;0;1625,4;12,4;12,8;11,2;74;5,4;;;;;;;;;
19/06/2023;1500 UTC;0;2268,4;14,8;14,8;12,4;65;6,1;;;;;;;;;
19/06/2023;1600 UTC;0;2448;15,2;15,4;13,6;63;4,7;;;;;;;;;
19/06/2023;1700 UTC;0;2293,6;15,5;16,2;14,9;65;5,1;;;;;;;;;
19/06/2023;1800 UTC;0;1888,5;16,7;16,8;15,5;64;4,7;;;;;;;;;
19/06/2023;1900 UTC;0;1328,3;15,2;16,7;14,9;72;5,7;;;;;;;;;
19/06/2023;2000 UTC;0;619,9;13,7;15,2;13,7;76;5,2;;;;;;;;;
19/06/2023;2100 UTC;0;57;12,2;13,7;12,2;84;4,6;;;;;;;;;
19/06/2023;2200 UTC;0;;11,1;12,2;11,1;89;4,2;;;;;;;;;
19/06/2023;2300 UTC;0;;10;11,1;10;92;4,2;;;;;;;;;
20/06/2023;0000 UTC;0;;9,1;10;9,1;95;3,7;;;;;;;;;
20/06/2023;0100 UTC;0;;9,2;9,2;8,8;97;5;;;;;;;;;
20/06/2023;0200 UTC;0;;9,2;9,4;9,2;96;5;;;;;;;;;
20/06/2023;0300 UTC;0;;9,2;9,2;9;96;5,5;;;;;;;;;
20/06/2023;0400 UTC;0;;9,5;9,5;9,2;94;5,5;;;;;;;;;
20/06/2023;0500 UTC;0;;9,4;9,6;9,4;90;7,1;;;;;;;;;
20/06/2023;0600 UTC;0;;9,2;9,5;9,1;92;7,1;;;;;;;;;
20/06/2023;0700 UTC;0;;9,4;9,4;9,2;91;5,4;;;;;;;;;
20/06/2023;0800 UTC;0;;9,4;9,5;9,3;91;3,9;;;;;;;;;
20/06/2023;0900 UTC;0;;9,4;9,5;9,4;92;3,6;;;;;;;;;
20/06/2023;1000 UTC;0;;9,6;9,6;9,4;91;3,8;;;;;;;;;
20/06/2023;1100 UTC;0;60,9;9,8;9,9;9,6;87;3,7;;;;;;;;;
20/06/2023;1200 UTC;0;226,4;10,4;10,6;9,8;85;3,8;;;;;;;;;
20/06/2023;1300 UTC;0;780,2;12,3;12,7;10,4;76;3,8;;;;;;;;;
20/06/2023;1400 UTC;0;1872,5;14,3;14,3;12;73;4;;;;;;;;;
20/06/2023;1500 UTC;0;2271,9;15,3;15,4;13,9;70;4,3;;;;;;;;;
20/06/2023;1600 UTC;0;2386,6;17;18;15,3;60;4,3;;;;;;;;;
20/06/2023;1700 UTC;0;2237,7;18,7;19;16,9;55;5,9;;;;;;;;;
20/06/2023;1800 UTC;0;1830,4;19,6;20,4;18,5;53;5,3;;;;;;;;;
20/06/2023;1900 UTC;0;1304,8;19,9;20,4;19,3;53;4,8;;;;;;;;;
20/06/2023;2000 UTC;0;618,1;18,6;19,9;18,5;61;4,8;;;;;;;;;
20/06/2023;2100 UTC;0;64,9;15,5;18,6;15,4;74;3,4;;;;;;;;;
20/06/2023;2200 UTC;0;;15,7;15,8;14,5;77;1,5;;;;;;;;;
20/06/2023;2300 UTC;0;;14;15,6;14;83;2,7;;;;;;;;;
21/06/2023;0000 UTC;0;;12,9;14;12,9;92;3,4;;;;;;;;;
21/06/2023;0100 UTC;0;;11,9;12,9;11,9;98;3,4;;;;;;;;;
21/06/2023;0200 UTC;0;1,3;11,8;11,9;11,8;99;2,8;;;;;;;;;
21/06/2023;0300 UTC;0;;11,9;12;11,6;99;3,1;;;;;;;;;
21/06/2023;0400 UTC;0;;11,7;11,9;11,7;99;2,6;;;;;;;;;
21/06/2023;0500 UTC;0;;11,8;11,9;11,6;100;2,5;;;;;;;;;
21/06/2023;0600 UTC;0;;11,2;11,8;11,2;100;2,5;;;;;;;;;
21/06/2023;0700 UTC;0;1,1;10,3;11,2;10,2;100;2;;;;;;;;;
21/06/2023;0800 UTC;0;0,3;9,5;10,3;9,5;100;2;;;;;;;;;
21/06/2023;0900 UTC;0;;9,4;9,6;9,3;100;1,6;;;;;;;;;
21/06/2023;1000 UTC;0,2;0,1;9;9,6;9;100;2,7;;;;;;;;;
21/06/2023;1100 UTC;0;86,9;9,7;9,7;8,8;100;2,7;;;;;;;;;
21/06/2023;1200 UTC;0;292,2;10,8;10,8;9,7;100;2,8;;;;;;;;;
21/06/2023;1300 UTC;0;530,2;11,5;11,6;10,7;100;2,8;;;;;;;;;
21/06/2023;1400 UTC;0;1380;15,4;15,6;11,5;88;2,9;;;;;;;;;
21/06/2023;1500 UTC;0;1958,5;20;20;15,2;71;3,4;;;;;;;;;
21/06/2023;1600 UTC;0;1743,1;20,8;21,1;20;55;6;;;;;;;;;
21/06/2023;1700 UTC;0;2025,5;21,2;21,9;20,6;52;5,5;;;;;;;;;
21/06/2023;1800 UTC;0;1807,6;21,8;22,4;21,2;53;6,1;;;;;;;;;
21/06/2023;1900 UTC;0;894,8;20,8;21,9;20,3;57;4,9;;;;;;;;;
21/06/2023;2000 UTC;0;620,9;19,8;21,4;19,8;63;4,7;;;;;;;;;
21/06/2023;2100 UTC;0;48,2;18,3;19,8;18,3;68;2,8;;;;;;;;;
21/06/2023;2200 UTC;0;;17,6;18,3;17,5;73;2,6;;;;;;;;;
21/06/2023;2300 UTC;0;;16,9;17,6;16,9;78;3,1;;;;;;;;;
22/06/2023;0000 UTC;0;;15,9;16,9;15,9;80;3,7;;;;;;;;;
22/06/2023;0100 UTC;0;;15,5;16,1;15,3;83;1,9;;;;;;;;;
22/06/2023;0200 UTC;0;;15,2;15,6;15,2;85;1,6;;;;;;;;;
22/06/2023;0300 UTC;0;;14,9;15,2;14,8;86;1,5;;;;;;;;;
22/06/2023;0400 UTC;0;;14,5;15;14,3;89;1,2;;;;;;;;;
22/06/2023;0500 UTC;0;;14,4;14,7;14,4;91;1,2;;;;;;;;;
22/06/2023;0600 UTC;0;;14,4;14,7;14,3;93;1,2;;;;;;;;;
22/06/2023;0700 UTC;0;;14,4;14,6;14,4;93;1,9;;;;;;;;;
22/06/2023;0800 UTC;0;;14;14,4;14;96;1,4;;;;;;;;;
22/06/2023;0900 UTC;0,6;;14,2;14,3;13,9;97;2,2;;;;;;;;;
22/06/2023;1000 UTC;0,4;;14;14,2;14;98;1,9;;;;;;;;;
22/06/2023;1100 UTC;0;69,9;14,4;14,4;13,9;97;2;;;;;;;;;
22/06/2023;1200 UTC;0;254;15,2;15,2;14,4;93;1,7;;;;;;;;;
22/06/2023;1300 UTC;0;809,3;18,6;18,6;15,2;77;4,7;;;;;;;;;
22/06/2023;1400 UTC;0;1281,6;19,9;19,9;18,7;63;7,8;;;;;;;;;
22/06/2023;1500 UTC;0;1782,3;21,3;21,6;19,9;58;7,4;;;;;;;;;
22/06/2023;1600 UTC;0,2;2288,2;22,2;22,7;21,1;53;8,3;;;;;;;;;
22/06/2023;1700 UTC;0;1927,7;22,9;22,9;21,9;53;9,2;;;;;;;;;
22/06/2023;1800 UTC;0;1415,4;22,1;23;21,6;55;9,7;;;;;;;;;
22/06/2023;1900 UTC;0;879,2;21,4;22,2;21,4;58;6,6;;;;;;;;;
22/06/2023;2000 UTC;0;342,1;20,2;21,4;20,2;64;6,5;;;;;;;;;
22/06/2023;2100 UTC;0;31;19,2;20,2;19,2;70;3,4;;;;;;;;;
22/06/2023;2200 UTC;0;;18,8;19,2;18,7;73;2,3;;;;;;;;;
22/06/2023;2300 UTC;0;;18,1;18,8;18;77;1,7;;;;;;;;;
23/06/2023;0000 UTC;0;;18,2;18,3;17,8;75;3;;;;;;;;;
23/06/2023;0100 UTC;0;;17,2;18,4;17,1;84;3,9;;;;;;;;;
23/06/2023;0200 UTC;0;;17,6;17,9;17,2;80;4,1;;;;;;;;;
23/06/2023;0300 UTC;0;;19,8;19,8;19,5;46;0;;;;;;;;;
23/06/2023;0400 UTC;0;;16,7;17,2;16,7;86;4,9;;;;;;;;;
23/06/2023;0500 UTC;0,4;;16;16,8;15,9;92;2,5;;;;;;;;;
23/06/2023;0600 UTC;0;;19,5;16,2;15,7;39;2,5;;;;;;;;;
23/06/2023;0700 UTC;0;;15,2;15,8;15,2;96;1,9;;;;;;;;;
23/06/2023;0800 UTC;0;;14,9;15,2;14,9;97;1,5;;;;;;;;;
23/06/2023;0900 UTC;0;;14;14,9;14;98;1,4;;;;;;;;;
23/06/2023;1000 UTC;0;;13,3;14,2;13,2;99;1;;;;;;;;;
23/06/2023;1100 UTC;0,2;103,3;14,7;14,7;13,3;99;2,4;;;;;;;;;
23/06/2023;1200 UTC;0;721,9;18;18;14,7;81;2,3;;;;;;;;;
23/06/2023;1300 UTC;0;707,8;18,5;18,5;17,8;76;2,1;;;;;;;;;
23/06/2023;1400 UTC;0;1248,2;20,7;20,9;18,5;58;5,9;;;;;;;;;
23/06/2023;1500 UTC;0;1763,9;22,2;22,7;20,3;53;7,8;;;;;;;;;
23/06/2023;1600 UTC;0,2;1212,7;21,6;22,3;21,5;53;8,8;;;;;;;;;
23/06/2023;1700 UTC;0;1428,6;22,2;22,6;21,4;54;8,3;;;;;;;;;
23/06/2023;1800 UTC;0;527,5;21,6;22,2;21,2;59;7,6;;;;;;;;;
23/06/2023;1900 UTC;0;619,9;21,3;22,2;21,2;60;5,4;;;;;;;;;
23/06/2023;2000 UTC;0;410,9;20,5;21,8;20,5;65;5,5;;;;;;;;;
23/06/2023;2100 UTC;0;5,6;19,8;20,5;19,8;70;4,1;;;;;;;;;
23/06/2023;2200 UTC;0;;18,5;19,8;18,5;74;3,9;;;;;;;;;
23/06/2023;2300 UTC;0;;18;18,7;18;77;4,7;;;;;;;;;
24/06/2023;0000 UTC;0;;17,2;18;17,1;83;4,7;;;;;;;;;
24/06/2023;0100 UTC;0;;17,2;17,6;17,2;77;8,4;;;;;;;;;
24/06/2023;0200 UTC;0;;17,7;17,8;16,7;70;8;;;;;;;;;
24/06/2023;0300 UTC;0;;16,6;17,7;16,6;77;7,7;;;;;;;;;
24/06/2023;0400 UTC;0;;16;16,6;16;81;3,7;;;;;;;;;
24/06/2023;0500 UTC;0;;15,1;16;15,1;83;3,6;;;;;;;;;
24/06/2023;0600 UTC;0;;14,5;15,3;14,5;84;2,9;;;;;;;;;
24/06/2023;0700 UTC;0;;13,6;14,5;13,5;89;1,5;;;;;;;;;
24/06/2023;0800 UTC;0;;13,1;13,8;12,6;94;2,4;;;;;;;;;
24/06/2023;0900 UTC;0;;13,2;13,4;12,9;91;1,9;;;;;;;;;
24/06/2023;1000 UTC;0;;13,3;13,4;12,9;89;2;;;;;;;;;
24/06/2023;1100 UTC;0;69;14,3;14,3;12,9;87;1,6;;;;;;;;;
24/06/2023;1200 UTC;0;726,5;18,7;18,8;14,2;64;3;;;;;;;;;
24/06/2023;1300 UTC;0;1423,7;21,3;21,4;18,7;54;5,6;;;;;;;;;
24/06/2023;1400 UTC;0;1918,5;22,7;22,7;21,2;52;8,6;;;;;;;;;
24/06/2023;1500 UTC;0;2217,4;23,4;23,6;22,6;50;8,6;;;;;;;;;
24/06/2023;1600 UTC;0;2328,8;24,3;24,3;23,2;48;7,5;;;;;;;;;
24/06/2023;1700 UTC;0;2198,4;24,6;24,7;24;48;7,1;;;;;;;;;
24/06/2023;1800 UTC;0;1811,4;25,1;25,2;24,1;47;7,1;;;;;;;;;
24/06/2023;1900 UTC;0;1271,8;24,2;25,1;24;50;6,8;;;;;;;;;
24/06/2023;2000 UTC;0;597,6;23,1;24,5;23,1;54;5,9;;;;;;;;;
